VIN,accident,body_style,damage,drive_type,engine,ext_color,fuel,int_color,location,mileage,one_owner,personal,price,service,transmission,name,make,model,trim,special
19XFB2F81FE298796,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 1.8 L,Black,Gasoline,Black,"Brooklyn, NY ","44,120",Service history records,Last owned in Virginia,"12,999.00",Personal vehicle,Automatic,2015,Honda,Civic EX,,
KNMAT2MV4FP525883,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.5 L,Black,Gasoline,Black,"Great Neck, NY ","47,325",CARFAX 1-Owner vehicle,Personal lease vehicle,"12,480.00",Service history records,Automatic,2015,Nissan,Rogue S,,
1N4AL3AP1FC472133,Accident reported,Sedan,CARFAX 1-Owner vehicle,FWD,4 Cyl 2.5 L,Black,Gasoline,Gray,"Brooklyn, NY ","51,807",Service history record,Last owned in New York,"10,999.00",Personal lease vehicle,Automatic,2015,Nissan,Altima SV,,
2T1BURHE0FC298548,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 1.8 L,Silver,Gasoline,Black,"Great Neck, NY ","36,125",CARFAX 1-Owner vehicle,Personal lease vehicle,"10,980.00",Regular oil changes,Automatic,2015,Toyota,Corolla S,Plus,
5N1AT2MV2FC913410,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.5 L,Gray,Gasoline,Black,"Great Neck, NY ","35,690",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,980.00",Service history records,Automatic,2015,Nissan,Rogue SV,,
2T3RFREV5FW278394,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.5 L,Black,Gasoline,Black,"Great Neck, NY ","48,520",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,890.00",Service history records,Automatic,2015,Toyota,RAV4 XLE,,
19UDE2F73GA005332,No accidents reported to CARFAX,Sedan,No other damage reported to CARFAX,FWD,4 Cyl 2.4 L,Black,Gasoline,Black,"Great Neck, NY ","44,407",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,890.00",Service history records,Automatic,2016,Acura,ILX Technology,Plus,
1N4AA5AP4EC475995,No accidents reported to CARFAX,Sedan,Other damage reported,FWD,6 Cyl 3.5 L,Gray,Gasoline,Gray,"Brooklyn, NY ","74,316",CARFAX 1-Owner vehicle,Personal vehicle,"10,999.00",Service history records,Automatic,2014,Nissan,Maxima SV,,
5J6RM4H35FL088143,No accidents reported to CARFAX,SUV,No other damage reported to CARFAX,AWD,4 Cyl 2.4 L,White,Gasoline,Tan,"Great Neck, NY ","23,585",CARFAX 1-Owner vehicle,Personal lease vehicle,"14,890.00",Service history records,Automatic,2015,Honda,CR-V LX,,
1N4AA5AP1BC845313,Accident reported,Sedan,Previous owners,FWD,6 Cyl 3.5 L,Black,Gasoline,Black,"Brooklyn, NY ","91,037",Service history records,Last owned in New Jersey,"5,999.00","Types of owners: Personal lease, Personal",Automatic,2011,Nissan,Maxima SV,,
